"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Todd Gurley II (FA)","15","279","1,305","4.7","685","2.5","620","2.2","15","33","-70","57","39","8","5","1","1","57","64","87","7","262"
"2","Le'Veon Bell (FA)","15","321","1,291","4.0","646","2.0","645","2.0","17","27","-64","11","33","3","0","0","0","27","85","106","5","223"
"3","Kareem Hunt (CLE)","16","272","1,327","4.9","704","2.6","623","2.3","37","24","-46","69","35","12","5","3","3","69","53","63","4","152"
"4","Alvin Kamara (NO)","16","120","728","6.1","404","3.4","324","2.7","11","9","-29","74","27","5","1","1","1","74","81","100","7","245"
"5","Melvin Gordon III (FA)","16","284","1,105","3.9","517","1.8","588","2.1","30","37","-75","87","34","5","1","1","1","87","58","83","5","114"
"6","Mark Ingram II (FA)","16","230","1,124","4.9","516","2.2","608","2.6","8","12","-26","50","23","11","6","3","3","72","58","71","7","111"
"7","LeSean McCoy (FA)","16","287","1,138","4.0","645","2.2","493","1.7","4","55","-133","48","33","12","4","1","0","48","59","77","9","68"
"8","Leonard Fournette (FA)","13","268","1,040","3.9","539","2.0","501","1.9","9","32","-57","90","18","4","2","2","2","90","36","48","1","62"
"9","Ezekiel Elliott (NE)","10","242","983","4.1","501","2.1","482","2.0","3","19","-56","25","21","5","1","0","0","30","26","38","3","47"
"10","Jordan Howard (FA)","16","276","1,122","4.1","404","1.5","718","2.6","12","44","-107","21","32","5","3","3","3","53","23","32","0","45"
"11","Carlos Hyde (FA)","16","240","938","3.9","463","1.9","475","2.0","17","34","-73","8","27","6","2","1","1","61","59","88","5","97"
"12","Dion Lewis (FA)","16","180","896","5.0","396","2.2","500","2.8","19","19","-38","8","25","7","2","1","0","44","32","35","3","50"
"13","Devonta Freeman (FA)","14","196","865","4.4","514","2.6","351","1.8","16","15","-32","32","22","5","2","1","0","44","36","47","3","80"
"14","Lamar Miller (FA)","16","238","888","3.7","488","2.1","400","1.7","5","22","-43","4","22","1","0","0","0","21","36","45","3","70"
"15","Christian McCaffrey (SF)","16","117","435","3.7","256","2.2","179","1.5","3","13","-38","4","8","1","1","1","0","40","80","113","6","143"
"16","Alex Collins (FA)","15","212","973","4.6","450","2.1","523","2.5","13","29","-67","18","27","6","2","1","1","50","23","36","0","87"
"17","C.J. Anderson (FA)","16","245","1,007","4.1","356","1.5","651","2.7","20","21","-37","23","21","7","2","1","0","40","28","40","3","67"
"18","Frank Gore (FA)","16","261","961","3.7","408","1.6","553","2.1","10","26","-50","14","19","1","0","0","0","21","29","38","1","89"
"19","Marshawn Lynch (FA)","15","207","891","4.3","375","1.8","516","2.5","23","21","-36","51","21","5","1","1","1","51","20","31","1","47"
"20","Latavius Murray (BUF)","16","216","842","3.9","546","2.5","296","1.4","10","24","-50","29","20","7","4","1","0","46","15","17","0","28"
"21","Duke Johnson Jr. (FA)","16","82","348","4.2","176","2.1","172","2.1","7","9","-21","19","12","0","0","0","0","19","74","93","3","191"
"22","Tevin Coleman (FA)","15","156","628","4.0","271","1.7","357","2.3","6","21","-58","14","14","6","2","1","1","52","27","39","2","101"
"23","DeMarco Murray (FA)","15","184","659","3.6","408","2.2","251","1.4","6","17","-41","75","9","3","1","1","1","75","39","47","1","69"
"24","Jerick McKinnon (KC)","16","150","570","3.8","320","2.1","250","1.7","14","23","-59","58","12","2","1","1","1","58","51","68","1","65"
"25","Derrick Henry (TEN)","16","176","744","4.2","358","2.0","386","2.2","14","26","-77","75","20","5","2","2","2","75","11","17","0","17"
"26","Bilal Powell (FA)","15","178","772","4.3","452","2.5","320","1.8","6","24","-44","75","20","9","5","4","3","75","23","33","1","61"
"27","Javorius Allen (FA)","16","153","591","3.9","288","1.9","303","2.0","6","19","-36","10","13","1","1","0","0","37","46","60","3","70"
"28","Orleans Darkwa (FA)","15","171","751","4.4","331","1.9","420","2.5","4","13","-32","75","16","6","2","2","1","75","19","28","0","38"
"29","Jamaal Williams (NO)","16","153","556","3.6","284","1.9","272","1.8","5","6","-10","4","6","1","0","0","0","25","25","34","1","71"
"30","Isaiah Crowell (FA)","16","206","853","4.1","379","1.8","474","2.3","6","20","-56","26","22","5","2","1","1","59","28","42","2","69"
"31","Chris Thompson (FA)","10","64","294","4.6","163","2.5","131","2.0","3","11","-25","61","8","1","1","1","1","61","39","54","3","144"
"32","Joe Mixon (CIN)","14","178","626","3.5","303","1.7","323","1.8","6","28","-72","11","17","2","0","0","0","25","30","34","0","102"
"33","Jay Ajayi (FA)","14","208","873","4.2","408","2.0","465","2.2","18","36","-77","46","23","6","3","2","1","71","24","34","2","38"
"34","Kenyan Drake (FA)","16","133","644","4.8","237","1.8","407","3.1","15","21","-61","66","16","7","6","3","1","66","32","48","2","44"
"35","Jonathan Stewart (FA)","15","198","680","3.4","371","1.9","309","1.6","11","22","-51","60","15","1","1","1","1","60","8","15","1","37"
"36","Giovani Bernard (FA)","16","105","458","4.4","256","2.4","202","1.9","3","11","-24","12","14","5","0","0","0","25","43","60","3","77"
"37","Theo Riddick (FA)","16","84","286","3.4","100","1.2","186","2.2","8","14","-33","18","9","1","0","0","0","21","53","71","4","128"
"38","Rex Burkhead (FA)","10","64","264","4.1","141","2.2","123","1.9","6","4","-6","14","5","2","1","0","0","31","30","36","6","39"
